@relation weka_SO_comments_model

@attribute text string
@attribute @@class@@ {good,bad}

@data
'FYI You should use hour format or else how do you know the difference between in the morning and at night? Also no need for the as the db column doesn\'t use that.',good
'You can set property..',good
'This worked perfectly. I was looking for a way to not remove the class from the clicked dot and this was it. Thank you.',good
'This is more of a workplace question. We answer questions about writing computer programs here.',good
'Did you have some states on the notifications, for example readed and unreaded?.it makes a lot of more sense if you instead of return a json response from the serversee php.netmanualenfunction.json-encode.php with all the unread notifications for that specific user.',good
'actually thats the only while loop I see that has the incorrect trailing semicolon, most the others are do-while loops',good
'Oops, good point, but hey just an example. We still don\'t know how OP wants to mutate each group.',good
'Post your code.',good
'Post a Minimal, Complete, and Verifiable example in your question please.',good
'I threw you code in a plunk and it seems to work with no console errors. plnkr.coeditPBNBLrrtXeErJli?ppreview',good
'Possible duplicate of Order of constructor call in virtual inheritance',good
'Declare the function before using it.',good
'Sometimes you inherit bad tablecolumn names from those who have gone before. It\'s just something you have to deal with. You can put double quotes around a column name to allow mixed case names. It may make the query seem a bit cleaner as it doesn\'t look exactly like a keyword.',good
'everything my answer included is a sledgehammer approach. If dependencies aren\'t tracked properly, you basically have no option but to do a full rebuild.',good
'Hav you counted how often your loop in is being traversed altogether with aa and with aa by any thread? Once you have, come back and modify your question. Hint Your threads don\'t share any work',good
'is used to reset terminal attributes like display color. is executed before the prompt is displayed, and the command is presumably used to undo changes made earlier in the prompt but not shown.',good
'Nope it looks for one of them it is a character class after all.',good
'Not sure whether relying on the order of the properties in object is good idea.',good
'If i was a compiler I would refuse to compile anything with such a bad intendation P',good
'Undefined behavior. You can\'t predict what might happen with any degree of certainty without knowing the exact context in which your program is running.',good
'Welcome to Stack Overflow! It sounds like you may need to learn how to use a debugger to step through your code. With a good debugger, you can execute your program line by line and see where it is deviating from what you expect. This is an essential tool if you are going to do any programming. Further reading How to debug small programs.',good
'remove the semicolon on your while loop line it should just be Edit Actually I see this on multiple while loops, there shouldn\'t be semicolons on any of those. You don\'t see any output because none of your if statements will evaluate to true at the end if your while loop doesn\'t run for enough iterations to make any of the conditions true. That semicolon is just ending the while part of your main loop so it will run no more than once.',good
'Why .?',good
'Can you share your code that you tried?',good
'It\'s an , it will match all records that are not OR \'NULL\'.',good
'what are you doing ?',good
'Can you add some relevant code showing exactly how you are declaring the background of the site?',good
'don\'t you need to add the buttongroup to a form or panel?',good
'I\'ll add an addendum to my answer.',good
'How about SELECT FROM TAMS.OrderDetail WHERE ISNULLCheckPointStatus,\'NA\' ! \'Completed\'',good
'OP original poster',good
'I would assume the ? is the crucial part OP wants to know.',good
'what about ? jsfiddle.netvabsqv',good
'thank you sir. little adjustment but I hope this can help others as well who will have a hard time using arrays.',good
'Yeah of course! Let me add a hint on that',good
'Read How to Ask then edit your question to contain a Minimal, Complete, and Verifiable example including concise, testable sample input and expected output.',good
'MCVE please. My eyes can\'t handle this much Java without an IDE.',good
'Your main question doesn\'t make sense to me. It returns because push returns the length of the array you\'ve inserted element to. It does push element to the array, but as you\'re logging the return of push, and not the list you see only . If you\'ll log you\'ll see that that your array has in it',good
'Have you looked at the documentation for ?',good
'I just worked it out went with',good
'you can do it in between the data frames creation and writing to file with',good
'You could also use instead of , it already has several events related to data changes.',good
'Possible duplicate of What is a NullPointerException, and how do I fix it?',good
'Welcome to StackOverflow. Please read and follow the posting guidelines in the help documentation. Minimal, complete, verifiable example applies here. We cannot effectively help you until you post your code and accurately describe the problem. StackOverflow is not a coding or tutorial service.',good
'Welcome to StackOverflow. Please note, that this is not a free code-writing service. Yet, we are eager to help fellow programmers and those looking to learn with their code. Please read the help topics on How do I Ask a Good Question. You might also want to take the tour and earn a badge while doing so. Afterwards, please update your question with the VBA code you have written thus far in order to complete the tasks you wish to achieve. stackoverflow.comhelphow-to-ask stackoverflow.comtour',good
'Crystal ball says you are not calling CWinThreadPumpMessage. No message loop no messages.',good
'Kotlin made the choice to support implicit SAM interface conversion to functions only for Java interfaces. Not for Kotlin interfaces. I agree that this hurts readability in some cases. Type aliases will come in the next version AFAIR. JetBrains will then see if that fixes the problem of if conversion of Kotlin interfaces should be allowed. There\'s a feature request for that youtrack.jetbrains.comissueKT-. In the meantime, I would just use in the signatures. Hopefully refactoring the code with type aliases won\'t be too hard.',good
'Your code exposes undefined behavior, hence asking why it\'s behaving as you observe is pretty useless. Just don\'t write such crappy code, I can\'t see any real world use case doing so. If that was something given to you by a teacher in a course, kick them in the ass and leave that class quickly.',good
'In your last comment there are spaces before the flags, which will cause this error.',good
'What have you tried? We\'re not going write code for you.',good
'Good point!.',good
'I guess OP is surprised that the value he reads out via the const argument can change.',good
'Where is problem you talk about ? Please add more information to your question',good
'I have a BLE device with a refresh frequency max of Hz . hence ms',good
'You will want to go through the process of collecting the indices of the y values that match as I did in dupesList twice, once for both the min and the max variables. Once these indices are collected into two separate lists, use to draw the lines on top of the scatter plot. You will probably want to add the col argument to control the colors.',good
'You may think your question is reproducible because you link to input data, but it\'s much better to have the q be self-contained.',good
'Please provide a reproducible example',good
'You can save textview information if you convert to String or String but no TextView object.',good
'What DBMS are you using? SQL Server? MySQL? Oracle? Something else?',good
'This site is for programming questions. We\'re not general OS tech support.',good
'Using once per file is definitely better than calling once per line of input.',good
'technically this is a variant of a pivot query, and mysql doesn\'t support them. the workarounds get very ugly, very fast. if you only EVER need to check for , then it\'s not totally horrible, but the workarounds can NOT handle .n arbitrary transformations. you\'re probably better off implementing the counting logic in client-side code, and just doing a conventional query.',good
'Your question title talks about a cycle. There is no cycle here.',good
'it doesn\'t work is not a question. What have you tried to do to debug the problem? Add some logging statements somewhere so you know what your code is doing.',good
'You may well not be able to send the email from another recipient. While technically you can set the FROM or REPLY-TO headers to any value you want, your SMTP provider Gmail might see that as an attempt to be deceptive and might change the FROM header you have set. That\'s just speculation, but it would explain what you see.',good
'And start with understanding basic differences between server and client.',good
'What exactly do you think is wrong with the code that needs to be picked up by SA?',good
'something like that happened to me when I had plyr package loaded',good
'is a subset of , so every algorithm with a time complexity of also has a time complexity of .',good
'You forgot a quote somewhere.',good
'I want to be able to get a pointer that refers to the void foo method inside the a object You must understand that there is no such thing so you cannot get it. There is only one method in the memory that serves all objects of type class . That\'s why you must specify object to which you want to apply this method for example in the form - unless that method is static. To answer question how can we make a difference - method get\'s hidden parameter by which you know to what instance current call is made',good
'no, that\'d probably be the most efficient. just be careful, because you WILL be dealing with a string, and may run into trouble with other functions that expect text strings, not binary strings. e.g. something that mis-interprets a sequence of your bytes as a unicode multibyte character.',good
'I\'ve already used this method successfully to create a cache of random bytes to be used on demand.. It should work just fine.',good
'Well if its working all right, what do you need help with? Improvements? Also can you double check the code that you\'ve posted in the question? I see infinite recursion.',good
'remove androidonClick attribute in xml and test it,',good
'are you sure you have more than file in the folder? If so, it will immediately end the do loop.',good
'That was it. Thank you very much for your help and thank you for the great explanation. I am new to Visual Studio development.',good
'You posted just a few seconds before I figured it out and posted my own answer',good
'Have a look on this answer',good
'How fast is X? We don\'t know, benchmark it and see.',good
'Found this that indicates it might never be coming - connect.microsoft.comSQLServerfeedbackdetails',good
'You can\'t parse HTML with regex.',good
'please post the sql you are trying to execute',good
'It\'s not . You\'re also missing a in your append, although even doesn\'t make a whole lotta sense.',good
'mysql doesn\'t have identity, so is this postgres? Use appropriate tags and don\'t spam unecessary ones.',good
'This should be a comment. It does not answer the question.',good
'Are there any other python conda installations when you use the drop down on project interpreter? If there are, try those and see what happens.',good
'How do you define are you reading from ?',good
'if you want more than one appliaction in a page, you should bootstrap module manually with . With single app your code works Plunker. Also, see this related SO question',good
'Could you please attach log of variable received from the server? Because seems like client just receiving invalid response.',good
'I agree with your comment in a technical statistical sense, but terminology varies widely. produces the numbers that the OP gave in their example .',good
'so what have you tried so far? what part of translation to seems complicated?',good
'Should also explain what it would do if valid.',good
'Ah wait the \'iterative\' you talk about is the fixed point method? If yes as it appears in your original code, then you can\'t use it on function f to find its roots as it is. if you want x such that fx, then you need to find a function g such that fx writes gxx and then apply your fixed point research on this function g and not f.',good
'I\'ve looked into this in the past, and I find it\'s just easier to combine a with that will automatically compile the files and dump them to the static folder. That way the Go code doesn\'t have to worry about compile errors, new versions, etc.',good
'This page has instructions at the bottom for enabling C exceptions to be thrown from floating-point environment exceptions which you\'ll have to configure before they\'re raised.',good
'You have tags, Angular cannot support more than one application in a page.',good
'This ranks up there as a solution not to show off to anyone p',good
'- for that crucial observation. I think the fact that a MB XML file results in MB of application memory use is also a strong indicator that it is the processing of the XML by the application that is primarily responsible for the excessive memory use, rather than the XML itself. TO provide any assistance in that area of course, we would need to know what the app is doing with that XML.',good
'The line I am trying to enter a file path in command line and then run an executable on them. makes me believe is not what the OP wants, he wants command line args.',good
'I doubt MS would even care. We care because it means that the user installs the new version of Office and your app stops working. The user then says The new version of Office doesn\'t work. It makes this app crash. I rely on this app for my day-to-day work. This is a critical bug in Office.',good
'Void pointers should be avoided. Why are you using them?',good
'check or .',good
'Well, start Bash with , try it there, and if that works, your login shell is probably not Bash. Also, check for the shell entry on the line with your username.',good
'Using something like it might be slow, but I see no reason to think it would be noticeably slower than something built in if you use and or an block.',good
'What\'s wrong with ?',good
'Hmm, I seem to recall something about the CRT buffering output differently i.e. not by line when it detects output is going to a pipe instead of the console that could be it. See stackoverflow.coma',good
'Thanks! It is working! and I\'ll mark your answer as the solution in mins. D',good
raywenderlich.commy-app-crashed-now-what-part-,good
'Under , is listed among the packages?',good
'sounds more like they want a keylogger.',good
'Why do you need to overload anything?',good
'Does face palm. I cannot believe I missed that.',good
'maybe you can solve it it via the withCount method.. to count it directly instead of each time in the view. laravel.comdocsmaster Counting Relationship Results',good
'There is no such limit, the cause of your problem should be found elsewhere.',good
'.sql files are script files and do not necessarily contain data but structural tablefield items and may or may not insert values. You need to run the .sql file in a compatible RDMS then connect with for data.',good
'See Why filter after flatMap is not completely lazy in Java streams?',good
'Shape names are descriptive only.',good
'Why do you define as array ?',good
'If you do not have a WHERE or ORDER BY then you can omit those portions of the DELETE command, but it is important to note that you cannot guarantee that the data being deleted is correct without having a WHERE or ORDER BY. The data may not come out in the same exact order every single time, even though it often does.',good
'In addition to not using mysql functions, PHP . is EOL for nearly years. It\'s time to upgrade.',good
'From the examples you\'ve given, your data is very close to both CSV format and Python list or tuple format. Is it all like that? Either replace the leading and trailing and replace with nothing - load with the module, or replace with nothing, and use - are they options?',good
'You might want to have a look at this same problem previously asked. One issue I see with your solution is that you are thinking about Prolog imperatively. That is, you\'re asking yourself what do I tell Prolog to do to this information to get the results I want rather than thinking relationally.',good
'Similar to comment, if certain behavior is best tested, consider refactoring out this behavior into a different object with public methods that can be tested. The existing object with those private methods can then internally use this new object with tested public behavior.',good
downloads.chef.iochef-dk,good
'Stop using deprecated API. Use or with prepared statements',good
'two. firstButtonClicked and secondButtonClicked',good
'so what happen with your other question ?? stackoverflow.comquestions',good
'Unmanged code is a DLL',good
'Why do you want to load everything? You only need to load whatever the user can see, not more',good
'Nice!! Congratulations!! This is the best result you had a great research. Thanks for the link. Perhaps you can post your own answer here? At least I will vote it up!',good
'In that case your simple solution should work fine. I misunderstood and thought this was an issue where you need to get all parentchild rows recursively. The solution I posted will do that just the CTE and the following SELECT statement - the rest is just to show that it works properly.',good
'It has changed for me for some reason maybe I\'ve pressed on keyboard without noticing so I said it just for safety so you wouldn\'t change other interpreter on mistake. On mac you should go like this PyCharm - Preferences as you can see here jetbrains.comhelppycharm.accessing-settings.html I hope that now you can follow my other parts of the question and that they\'ll help you.',good
'Or somehow way faster Generate a JSON or XML and display that using javascript benchmarked this once Somehow this is way faster then HTML rendering even when you generate the same elements with your JS',good
'Output the query and count each part of the query.',good
'Just because something looks like something you know from functional programming doesn\'t mean that\'s what it is or why it is being added. Being able to expand parameter packs through expressions like this is not a feature that was added for the sake of being more functional.',good
'The top one is the best duplicate. That one is about weekdays work days',good
'Solved it. Instead of using Optim, I used nloptr solver. It allows for inequality constraints. have a look here..stackoverflow.comquestions',good
'That worked. Thanks so much. I\'ll mark as answer if you want.',good
